customer_id,region,customer_type,signup_days_ago
10211,East,Returning,99
10212,East,Returning,820
10213,North,Returning,708
10214,West,Returning,417
10215,East,New,861
10216,West,Returning,786
10217,North,New,543
10218,North,Returning,248
10219,West,Returning,57
10220,South,Returning,1127
10221,South,New,359
10222,South,New,383
10223,East,Returning,826
10224,West,Returning,328
10225,South,Returning,469
10226,West,New,862
10227,North,New,726
10228,East,Returning,798
10229,East,New,35
10230,North,Returning,558
10231,North,Returning,586
10232,South,New,769
10233,West,Returning,207
10234,East,New,216
10235,West,Returning,922
10236,West,Returning,817
10237,South,Returning,979
10238,West,New,346
10239,North,Returning,1197
10240,North,Returning,349
10241,West,New,791
10242,West,New,219
10243,North,New,1104
10244,South,Returning,418
10245,East,Returning,968
10246,West,Returning,417
10247,East,Returning,955
10248,South,Returning,561
10249,South,Returning,103
10250,South,Returning,252
10251,East,Returning,829
10252,West,New,255
10253,South,Returning,352
10254,South,Returning,663
10255,North,New,326
10256,West,Returning,180
10257,West,New,760
10258,North,Returning,836
10259,North,Returning,887
10260,East,Returning,1134
10261,North,New,175
10262,West,New,529
10263,South,New,303
10264,North,New,1084
10265,West,New,661
10266,North,New,145
10267,South,Returning,839
10268,North,New,80
10269,North,New,350
10270,North,Returning,874
10271,North,Returning,622
10272,North,Returning,920
10273,North,Returning,698
10274,East,Returning,1016
10275,East,Returning,688
10276,South,Returning,96
10277,South,Returning,113
10278,South,Returning,938
10279,West,New,75
10280,West,Returning,470
10281,North,New,48
10282,North,Returning,384
10283,North,New,726
10284,South,New,232
10285,East,New,575
10286,South,Returning,1195
10287,North,New,112
10288,South,Returning,104
10289,South,Returning,347
10290,North,New,997
10291,West,Returning,504
10292,North,New,778
10293,West,New,69
10294,North,Returning,890
10295,West,Returning,108
10296,West,New,862
10297,West,Returning,203
10298,West,New,1034
10299,West,Returning,376
10300,East,Returning,245
10301,West,Returning,423
10302,North,Returning,30
10303,South,New,223
10304,South,Returning,730
10305,West,Returning,381
10306,South,Returning,444
10307,South,New,974
10308,East,Returning,174
10309,South,Returning,493
10310,North,New,247
10311,South,New,594
10312,South,Returning,418
10313,North,Returning,84
10314,South,New,112
10315,South,Returning,1027
10316,South,Returning,96
10317,South,Returning,945
10318,East,Returning,1101
10319,South,Returning,574
10320,West,Returning,395
10321,West,Returning,938
10322,South,Returning,1179
10323,South,Returning,170
10324,South,Returning,1158
10325,West,Returning,1134
10326,East,New,196
10327,West,Returning,94
10328,South,Returning,866
10329,East,Returning,120
10330,South,Returning,732
10331,West,Returning,105
10332,North,Returning,838
10333,East,Returning,301
10334,West,New,142
10335,North,New,107
10336,East,New,250
10337,North,New,662
10338,West,Returning,119
10339,North,Returning,968
10340,West,Returning,736
10341,North,New,377
10342,West,Returning,1184
10343,West,New,800
10344,East,Returning,816
10345,West,New,233
10346,West,Returning,861
10347,West,New,684
10348,South,Returning,1181
10349,East,Returning,589
10350,North,Returning,823
10351,East,New,429
10352,North,Returning,77
10353,East,Returning,179
10354,East,Returning,1044
10355,South,Returning,893
10356,South,Returning,456
10357,West,New,846
10358,West,New,35
10359,South,New,73
10360,East,New,623
10361,West,Returning,761
10362,North,Returning,1126
10363,North,Returning,918
10364,North,Returning,331
10365,East,Returning,983
10366,South,Returning,605
10367,West,Returning,996
10368,East,New,233
10369,South,Returning,60
10370,West,Returning,97
10371,West,New,1189
10372,South,Returning,124
10373,South,Returning,1129
10374,South,Returning,880
10375,North,Returning,200
10376,North,Returning,1040
10377,West,New,198
10378,South,New,197
10379,South,Returning,703
10380,West,Returning,367
10381,East,Returning,370
10382,West,Returning,258
10383,West,Returning,740
10384,South,Returning,61
10385,South,New,316
10386,West,New,677
10387,East,New,599
10388,West,New,848
10389,North,Returning,283
10390,West,Returning,788
10391,East,New,919
10392,North,Returning,484
10393,East,Returning,330
10394,East,New,679
10395,North,New,707
10396,South,New,140
10397,West,Returning,691
10398,South,New,210
10399,South,New,695
10400,South,New,1120
10401,South,Returning,658
10402,West,New,920
10403,West,Returning,392
10404,North,New,1109
10405,West,Returning,980
10406,West,Returning,1102
10407,South,Returning,897
10408,West,New,789
10409,North,Returning,644
10410,West,Returning,1116
10411,East,New,1022
10412,East,New,517
10413,North,Returning,130
10414,West,Returning,34
10415,North,New,303
10416,South,New,103
10417,North,Returning,277
10418,West,Returning,158
10419,North,Returning,1177
10420,West,Returning,141
10421,East,Returning,763
10422,North,New,441
10423,North,Returning,233
10424,North,Returning,850
10425,East,New,1165
10426,West,New,955
10427,North,Returning,1171
10428,West,Returning,720
10429,North,New,818
10430,West,Returning,201
10431,West,Returning,1027
10432,West,Returning,905
10433,East,Returning,327
10434,West,Returning,445
10435,North,Returning,744
10436,North,New,45
10437,North,Returning,986
10438,South,Returning,358
10439,West,New,117
10440,East,New,416
10441,West,New,1007
10442,North,Returning,350
10443,West,Returning,660
10444,North,New,979
10445,South,Returning,69
10446,East,Returning,919
10447,West,New,367
10448,East,Returning,843
10449,North,New,250
10450,East,Returning,192
10451,North,Returning,952
10452,West,New,975
10453,East,Returning,1178
10454,North,Returning,822
10455,North,Returning,575
10456,North,Returning,257
10457,West,Returning,375
10458,South,New,788
10459,West,Returning,434
10460,East,Returning,595
10461,East,Returning,226
10462,North,Returning,544
10463,West,Returning,308
10464,South,New,161
10465,East,Returning,184
10466,East,New,636
10467,East,Returning,458
10468,West,Returning,146
10469,North,Returning,631
10470,South,Returning,222
10471,South,New,48
10472,South,Returning,185
10473,North,Returning,554
10474,North,Returning,1146
10475,South,New,312
10476,South,New,363
10477,South,Returning,313
10478,East,Returning,445
10479,East,Returning,869
10480,South,New,406
10481,South,Returning,799
10482,North,Returning,1080
10483,East,Returning,1137
10484,South,New,688
10485,North,Returning,864
10486,South,Returning,1105
10487,South,New,950
10488,North,Returning,380
10489,East,Returning,184
10490,East,New,164
10491,East,New,1062
10492,East,Returning,680
10493,East,New,376
10494,South,New,434
10495,West,Returning,359
10496,East,Returning,968
10497,South,New,746
10498,East,New,1058
10499,South,Returning,383
10500,South,Returning,582
10501,West,Returning,172
10502,West,Returning,1166
10503,West,Returning,628
10504,South,Returning,677
10505,South,New,513
10506,West,Returning,346
10507,South,Returning,1139
10508,West,New,602
10509,South,New,819
10510,North,Returning,73
10511,North,New,352
10512,West,New,970
10513,North,New,132
10514,South,Returning,148
10515,South,Returning,977
10516,North,Returning,391
10517,South,New,350
10518,West,New,691
10519,North,Returning,258
10520,West,Returning,80
10521,West,Returning,35
10522,South,New,122
10523,North,New,215
10524,East,New,844
10525,North,Returning,378
10526,South,Returning,113
10527,West,Returning,46
10528,West,Returning,588
10529,West,Returning,1012
10530,South,Returning,426
10531,East,New,104
10532,East,Returning,296
10533,South,New,614
10534,East,Returning,250
10535,North,New,1174
10536,North,Returning,923
10537,South,Returning,433
10538,North,New,1143
10539,North,Returning,410
10540,West,Returning,194
10541,West,New,1127
10542,East,Returning,1152
10543,West,Returning,395
10544,West,Returning,725
10545,North,Returning,232
10546,South,New,780
10547,South,Returning,837
10548,North,Returning,860
10549,West,New,695
10550,South,New,853
10551,South,Returning,679
10552,North,New,989
10553,North,Returning,240
10554,West,Returning,595
10555,North,New,517
10556,North,Returning,654
10557,South,Returning,196
10558,South,Returning,408
10559,East,New,1146
10560,South,New,153
10561,North,Returning,773
10562,South,New,807
10563,West,Returning,585
10564,East,New,69
10565,East,Returning,70
10566,East,Returning,352
10567,West,Returning,149
10568,North,Returning,140
10569,South,New,217
10570,South,Returning,253
10571,South,Returning,1011
10572,West,Returning,777
10573,South,New,65
10574,West,Returning,765
10575,West,Returning,189
10576,South,Returning,522
10577,West,Returning,74
10578,East,New,135
10579,West,New,185
10580,South,New,537
10581,South,Returning,571
10582,South,New,442
10583,North,Returning,755
10584,South,New,872
10585,West,Returning,882
10586,East,New,707
10587,North,Returning,668
10588,South,New,605
10589,North,Returning,308
10590,North,Returning,599
10591,West,Returning,41
10592,South,Returning,1160
10593,South,Returning,463
10594,East,New,914
10595,North,Returning,1149
10596,South,New,611
10597,East,New,1038
10598,East,Returning,590
10599,West,New,184
10600,East,New,60
10601,South,Returning,188
10602,West,New,1132
10603,West,Returning,585
10604,West,Returning,403
10605,West,Returning,551
10606,West,Returning,329
10607,West,Returning,1048
10608,North,Returning,1199
10609,West,New,129
10610,South,New,870
10611,East,Returning,422
10612,East,Returning,85
10613,West,New,1108
10614,West,Returning,102
10615,South,New,270
10616,West,Returning,59
10617,West,New,581
10618,South,New,731
10619,North,New,405
10620,North,New,113
10621,West,New,165
10622,South,New,1122
10623,West,New,972
10624,South,New,1126
10625,West,Returning,651
10626,South,Returning,668
10627,West,New,949
10628,North,New,751
10629,East,New,540
10630,West,New,371
10631,West,New,598
10632,West,Returning,104
10633,North,Returning,255
10634,South,Returning,892
10635,North,Returning,1045
10636,North,Returning,149
10637,East,New,143
10638,East,Returning,130
10639,West,Returning,956
10640,West,Returning,394
10641,West,Returning,412
10642,West,Returning,44
10643,North,Returning,1167
10644,North,Returning,537
10645,East,New,963
10646,West,Returning,857
10647,North,New,195
10648,South,Returning,967
10649,East,Returning,673
10650,North,New,737
10651,South,Returning,264
10652,West,New,1020
10653,East,Returning,1120
10654,North,Returning,505
10655,West,Returning,138
10656,South,Returning,1023
10657,West,New,1068
10658,South,New,622
10659,East,Returning,707
10660,South,New,290
10661,South,Returning,108
10662,West,New,1134
10663,North,Returning,595
10664,North,Returning,351
10665,South,Returning,841
10666,East,New,60
10667,West,Returning,123
10668,West,Returning,313
10669,South,New,557
10670,South,Returning,459
10671,North,Returning,249
10672,East,New,441
10673,West,Returning,420
10674,East,New,643
10675,East,Returning,688
10676,South,Returning,1063
10677,West,Returning,973
10678,South,Returning,372
10679,North,New,1086
10680,South,Returning,639
10681,North,Returning,249
10682,North,Returning,427
10683,North,Returning,897
10684,South,New,991
10685,East,Returning,467
10686,South,New,214
10687,South,Returning,254
10688,West,Returning,151
10689,West,New,847
10690,East,Returning,618
10691,South,New,557
10692,West,Returning,816
10693,North,Returning,999
10694,South,New,960
10695,West,Returning,190
10696,South,Returning,719
10697,West,New,1062
10698,East,Returning,935
10699,East,New,415
10700,South,Returning,489
10701,South,New,1071
10702,South,Returning,68
10703,North,Returning,644
10704,West,New,165
10705,South,New,1076
10706,East,Returning,75
10707,West,Returning,57
10708,West,Returning,414
10709,South,New,264
10710,South,New,609
10711,West,Returning,380
10712,East,Returning,446
10713,West,Returning,690
10714,West,Returning,685
10715,West,Returning,1123
10716,North,New,592
10717,East,New,690
10718,North,Returning,823
10719,East,Returning,233
10720,West,New,810
10721,South,Returning,1038
10722,South,Returning,402
10723,North,Returning,238
10724,West,New,435
10725,North,Returning,351
10726,North,New,714
10727,South,Returning,1040
10728,North,New,727
10729,South,New,176
10730,South,Returning,398
10731,South,New,836
10732,North,Returning,416
10733,North,New,716
10734,South,Returning,842
10735,North,Returning,415
10736,East,Returning,787
10737,North,New,495
10738,South,New,188
10739,South,Returning,465
10740,South,Returning,546
10741,North,New,32
10742,North,New,1074
10743,West,Returning,647
10744,North,New,72
10745,South,Returning,1045
10746,South,New,1030
10747,South,New,44
10748,South,Returning,220
10749,West,Returning,455
10750,West,New,623
10751,South,Returning,879
10752,South,Returning,526
10753,South,Returning,745
10754,South,Returning,41
10755,East,Returning,800
10756,North,Returning,1101
10757,South,Returning,645
10758,West,Returning,562
10759,North,New,377
10760,South,Returning,1146
10761,East,Returning,68
10762,North,Returning,365
10763,North,Returning,192
10764,North,New,1043
10765,West,Returning,594
10766,North,New,1109
10767,North,Returning,808
10768,North,Returning,681
10769,North,Returning,635
10770,East,Returning,267
10771,South,Returning,687
10772,East,Returning,831
10773,East,Returning,1159
10774,West,Returning,672
10775,North,Returning,1128
10776,West,New,1135
10777,East,Returning,641
10778,North,New,543
10779,West,Returning,196
10780,West,Returning,344
10781,South,Returning,1058
10782,West,New,191
10783,South,New,494
10784,East,Returning,847
10785,West,New,311
10786,South,New,1169
10787,West,Returning,789
10788,South,Returning,63
10789,West,New,319
10790,East,New,896
10791,North,Returning,1039
10792,South,Returning,1114
10793,South,Returning,1025
10794,North,New,117
10795,North,New,883
10796,South,New,158
10797,North,Returning,119
10798,North,New,839
10799,West,New,589
10800,East,Returning,788
10801,West,Returning,1026
10802,South,Returning,110
10803,West,Returning,647
10804,East,Returning,1006
10805,North,Returning,545
10806,North,New,642
10807,East,Returning,612
10808,North,Returning,1091
10809,South,Returning,88
10810,West,Returning,1057
10811,North,Returning,985
10812,North,New,980
10813,West,Returning,512
10814,East,New,633
10815,North,Returning,461
10816,West,New,324
10817,West,New,1054
10818,South,Returning,621
10819,East,Returning,876
10820,South,Returning,147
10821,North,New,953
10822,East,New,800
10823,South,Returning,1197
10824,East,New,186
10825,West,New,661
10826,North,Returning,628
10827,East,New,659
10828,North,New,93
10829,West,Returning,583
10830,South,Returning,380
10831,East,Returning,752
10832,East,Returning,301
10833,South,Returning,539
10834,East,New,755
10835,West,Returning,104
10836,East,Returning,950
10837,West,Returning,867
10838,West,Returning,97
10839,South,Returning,105
10840,South,New,1024
10841,North,New,361
10842,West,New,1037
10843,South,Returning,614
10844,South,New,430
10845,North,Returning,350
10846,West,New,801
10847,South,Returning,158
10848,East,Returning,501
10849,North,New,434
10850,West,New,210
10851,North,New,442
10852,North,Returning,648
10853,West,New,822
10854,West,Returning,131
10855,North,Returning,1050
10856,South,Returning,1057
10857,West,Returning,839
10858,West,Returning,1111
10859,South,Returning,530
10860,South,New,991
10861,West,Returning,880
10862,West,New,688
10863,West,Returning,240
10864,East,Returning,682
10865,North,Returning,1084
10866,West,Returning,1181
10867,West,New,554
10868,West,Returning,320
10869,North,Returning,904
10870,North,Returning,118
10871,West,Returning,206
10872,North,New,687
10873,West,New,1188
10874,South,New,414
10875,East,Returning,548
10876,West,New,407
10877,South,Returning,545
10878,South,Returning,38
10879,East,New,725
10880,East,Returning,727
10881,South,Returning,399
10882,East,New,338
10883,West,New,921
10884,South,New,249
10885,North,New,85
10886,South,Returning,77
10887,South,Returning,1061
10888,North,New,456
10889,North,Returning,149
10890,East,New,1058
10891,South,Returning,203
10892,West,Returning,423
10893,South,Returning,54
10894,North,New,824
10895,West,Returning,848
10896,West,Returning,915
10897,South,New,337
10898,North,New,413
10899,North,New,1127
10900,South,Returning,991
10901,South,Returning,73
10902,South,Returning,839
10903,North,Returning,980
10904,South,Returning,684
10905,West,Returning,778
10906,East,New,31
10907,South,Returning,65
10908,North,New,71
10909,South,New,216
10910,South,Returning,1189
10911,West,Returning,772
10912,West,Returning,945
10913,West,Returning,375
10914,West,Returning,1126
10915,West,Returning,262
10916,West,New,1085
10917,North,New,66
10918,North,Returning,53
10919,South,New,122
10920,East,Returning,956
10921,North,New,331
10922,West,New,557
10923,East,Returning,581
10924,East,New,953
10925,North,Returning,438
10926,South,Returning,37
10927,North,New,482
10928,West,Returning,367
10929,East,Returning,885
10930,West,Returning,909
10931,South,Returning,137
10932,South,Returning,957
10933,South,Returning,112
10934,West,New,755
10935,West,Returning,485
10936,North,Returning,382
10937,West,Returning,595
10938,North,Returning,393
10939,West,Returning,958
10940,North,Returning,1161
10941,South,Returning,984
10942,West,New,543
10943,North,New,618
10944,South,Returning,553
10945,South,Returning,958
10946,South,Returning,676
10947,East,New,577
10948,West,Returning,509
10949,West,Returning,468
10950,South,Returning,676
10951,South,Returning,836
10952,South,Returning,535
10953,South,Returning,973
10954,North,Returning,997
10955,West,Returning,532
10956,West,Returning,1093
10957,West,Returning,232
10958,South,New,1120
10959,South,New,374
10960,South,Returning,690
10961,South,Returning,361
10962,South,Returning,547
10963,North,New,427
10964,North,Returning,855
10965,West,New,124
10966,South,Returning,1010
10967,West,Returning,1087
10968,North,Returning,688
10969,East,Returning,670
10970,North,New,848
10971,South,Returning,262
10972,North,Returning,907
10973,North,Returning,285
10974,West,Returning,821
10975,South,Returning,387
10976,East,New,902
10977,South,New,955
10978,South,New,274
10979,South,Returning,752
10980,North,Returning,613
10981,West,Returning,374
10982,West,New,718
10983,West,New,1191
10984,South,New,32
10985,North,Returning,1149
10986,West,Returning,1031
10987,South,Returning,649
10988,North,Returning,743
10989,South,New,461
10990,West,Returning,181
10991,East,Returning,698
10992,West,Returning,985
10993,West,New,300
10994,North,Returning,868
10995,West,Returning,905
10996,South,Returning,917
10997,East,Returning,427
10998,North,New,488
10999,West,Returning,516
11000,South,Returning,1029
11001,North,New,1083
11002,South,Returning,514
11003,North,Returning,1164
11004,North,Returning,697
11005,East,New,480
11006,South,New,30
11007,West,Returning,744
11008,South,Returning,784
11009,West,Returning,1163
11010,South,Returning,870
11011,East,Returning,64
11012,East,Returning,693
11013,South,New,899
11014,West,New,610
11015,South,New,532
11016,North,Returning,977
11017,East,New,745
11018,West,New,827
11019,North,Returning,573
11020,South,New,355
11021,West,New,637
11022,West,Returning,1152
11023,West,Returning,735
11024,South,Returning,857
11025,East,Returning,175
11026,South,New,1185
11027,West,Returning,316
11028,South,Returning,1166
11029,West,Returning,551
11030,South,Returning,1105
11031,East,Returning,1073
11032,East,Returning,913
11033,South,Returning,1102
11034,West,New,743
11035,South,Returning,1023
11036,East,Returning,231
11037,South,Returning,112
11038,South,Returning,665
11039,South,New,977
11040,North,Returning,925
11041,North,Returning,647
11042,East,Returning,639
11043,East,New,743
11044,East,New,1045
11045,North,Returning,1014
11046,South,Returning,158
11047,North,Returning,727
11048,West,New,475
11049,West,New,965
11050,South,New,621
11051,East,Returning,1189
11052,North,Returning,535
11053,South,Returning,824
11054,North,Returning,157
11055,South,New,1120
11056,East,Returning,209
11057,West,New,472
11058,North,New,1010
11059,East,Returning,1161
11060,East,New,596
11061,West,Returning,597
11062,East,Returning,87
11063,South,Returning,1175
11064,East,Returning,49
11065,South,Returning,60
11066,West,Returning,583
11067,South,New,34
11068,East,New,222
11069,North,Returning,764
11070,South,Returning,854
11071,West,New,378
11072,East,Returning,960
11073,South,Returning,741
11074,West,Returning,297
11075,West,Returning,863
11076,South,Returning,722
11077,East,Returning,980
11078,South,Returning,210
11079,East,New,300
11080,South,Returning,385
11081,South,New,429
11082,West,Returning,1069
11083,West,New,887
11084,West,New,666
11085,West,New,662
11086,West,Returning,1066
11087,West,New,552
11088,West,New,293
11089,South,Returning,190
11090,South,Returning,416
11091,South,Returning,794
11092,East,Returning,581
11093,South,Returning,523
11094,South,New,591
11095,East,New,1170
11096,South,Returning,1197
11097,North,New,218
11098,West,Returning,163
11099,West,Returning,315
11100,North,Returning,1026
11101,North,Returning,567
11102,South,Returning,1040
11103,West,Returning,786
11104,West,Returning,677
11105,North,New,359
11106,West,New,432
11107,North,Returning,202
11108,South,New,637
11109,West,Returning,358
11110,North,Returning,372
11111,North,Returning,76
11112,South,Returning,964
11113,East,Returning,1128
11114,West,Returning,612
11115,West,New,657
11116,North,Returning,1113
11117,North,New,628
11118,West,Returning,758
11119,South,Returning,530
11120,West,Returning,631
11121,East,Returning,640
11122,North,Returning,861
11123,West,New,736
11124,North,Returning,619
11125,South,Returning,118
11126,East,Returning,1088
11127,South,Returning,1069
11128,East,New,245
11129,East,New,373
11130,West,New,1168
11131,West,New,405
11132,South,Returning,980
11133,North,Returning,949
11134,West,Returning,1037
11135,West,Returning,48
11136,South,Returning,595
11137,South,Returning,691
11138,South,New,1009
11139,North,Returning,292
11140,East,New,388
11141,South,Returning,240
11142,West,Returning,921
11143,West,Returning,1198
11144,West,Returning,194
11145,South,New,302
11146,South,Returning,389
11147,West,Returning,1070
11148,West,Returning,551
11149,South,Returning,359
11150,West,Returning,407
11151,North,Returning,729
11152,West,Returning,482
11153,North,Returning,194
11154,North,Returning,989
11155,South,Returning,524
11156,North,Returning,330
11157,North,Returning,882
11158,North,Returning,901
11159,South,New,211
11160,West,New,116
11161,North,Returning,83
11162,East,Returning,925
11163,West,Returning,762
11164,North,New,956
11165,North,Returning,762
11166,West,Returning,499
11167,West,Returning,719
11168,South,New,875
11169,West,Returning,496
11170,North,Returning,1100
11171,South,Returning,1082
11172,West,Returning,966
11173,South,Returning,1190
11174,West,Returning,486
11175,South,Returning,163
11176,West,Returning,596
11177,South,Returning,902
11178,South,Returning,941
11179,North,Returning,484
11180,North,New,372
11181,West,Returning,551
11182,North,Returning,970
11183,North,New,100
11184,North,Returning,413
11185,North,New,298
11186,West,Returning,973
11187,South,New,579
11188,West,Returning,131
11189,North,New,336
11190,East,Returning,81
11191,South,Returning,586
11192,South,Returning,1197
11193,West,Returning,693
11194,West,Returning,1047
11195,West,Returning,898
11196,North,New,1062
11197,North,Returning,393
11198,East,New,1142
11199,South,Returning,309
11200,West,Returning,542
11201,East,Returning,827
11202,East,Returning,365
11203,West,Returning,339
11204,East,Returning,182
11205,North,Returning,34
11206,North,Returning,616
11207,East,Returning,1184
11208,South,New,287
11209,South,New,544
11210,South,Returning,1124
11211,West,Returning,933
11212,West,New,34
11213,East,New,615
11214,South,New,197
11215,South,Returning,319
11216,South,New,318
11217,South,Returning,746
11218,East,Returning,262
11219,East,New,324
11220,North,Returning,294
11221,North,Returning,447
11222,North,Returning,797
11223,West,Returning,497
11224,East,Returning,413
11225,North,New,635
11226,West,Returning,749
11227,South,Returning,47
11228,South,New,1071
11229,West,Returning,1102
11230,North,Returning,734
11231,North,New,702
11232,East,New,842
11233,North,Returning,545
11234,East,New,457
11235,North,New,442
11236,North,Returning,216
11237,North,New,1014
11238,South,Returning,405
11239,North,Returning,362
11240,North,Returning,1158
11241,West,New,622
11242,South,Returning,757
11243,South,New,317
11244,North,Returning,354
11245,South,Returning,882
11246,South,Returning,557
11247,East,New,202
11248,North,New,1007
11249,West,Returning,501
11250,West,New,812
11251,North,New,429
11252,North,Returning,685
11253,North,Returning,937
11254,East,New,1065
11255,North,Returning,272
11256,West,Returning,816
11257,West,Returning,1100
11258,West,Returning,781
11259,South,Returning,197
11260,West,Returning,252
11261,North,Returning,267
11262,South,Returning,154
11263,South,New,911
11264,West,New,1159
11265,East,New,634
11266,West,Returning,730
11267,North,Returning,935
11268,West,Returning,516
11269,South,Returning,582
11270,South,Returning,719
11271,West,New,386
11272,South,Returning,102
11273,South,Returning,694
11274,East,New,991
11275,North,Returning,115
11276,South,Returning,283
11277,North,Returning,337
11278,North,Returning,971
11279,West,New,620
11280,East,New,655
11281,South,New,784
11282,South,New,353
11283,South,Returning,864
11284,East,Returning,65
11285,West,New,163
11286,West,Returning,984
11287,South,Returning,800
11288,South,Returning,236
11289,South,Returning,543
11290,East,Returning,90
11291,South,Returning,816
11292,East,New,914
11293,East,Returning,355
11294,South,Returning,439
11295,South,Returning,307
11296,South,Returning,485
11297,North,Returning,348
11298,North,Returning,319
11299,West,Returning,533
11300,South,Returning,1035
11301,North,Returning,922
11302,East,Returning,377
11303,West,New,1133
11304,South,Returning,275
11305,West,New,1095
11306,West,New,391
11307,East,New,662
11308,East,Returning,267
11309,North,New,921
11310,West,New,401
11311,South,New,1050
11312,West,Returning,127
11313,East,Returning,617
11314,North,New,215
11315,North,New,1070
11316,East,Returning,517
11317,East,New,819
11318,North,Returning,1058
11319,West,Returning,656
11320,West,Returning,97
11321,South,New,288
11322,South,Returning,278
11323,North,New,1099
11324,West,Returning,1092
11325,South,Returning,588
11326,West,Returning,1071
11327,South,Returning,317
11328,East,New,824
11329,South,Returning,488
11330,North,Returning,311
11331,West,New,322
11332,South,Returning,521
11333,South,Returning,427
11334,West,Returning,277
