order_id,customer_id,order_date,category,quantity,unit_price,discount,delivery_days,payment_method,revenue,region
500076,11234,2025-12-07,Electronics,1,12.95,0.15,6,Card,11.01,East
500077,10161,2025-11-30,Grocery,3,11.96,0.0,5,Card,35.88,North
500078,10194,2025-06-08,Beauty,2,409.24,0.15,2,Net Banking,695.71,West
500079,10302,2025-02-17,Fashion,4,56.13,0.1,2,UPI,202.07,North
500080,10403,2025-03-25,Sports,4,257.83,0.0,4,UPI,1031.32,West
500081,10693,2025-04-18,Electronics,4,9.92,0.0,2,COD,39.68,North
500082,11420,2025-11-01,Home,2,59.58,0.0,3,UPI,119.16,West
500083,10976,2025-04-11,Sports,2,85.85,0.1,4,Card,154.53,East
500084,10576,2025-05-12,Home,4,409.02,0.1,6,COD,1472.47,South
500085,10318,2025-11-07,Electronics,1,121.32,0.0,3,Card,121.32,East
500086,10973,2025-03-01,Electronics,1,103.68,0.0,4,UPI,103.68,North
500087,10380,2025-08-31,Sports,1,29.32,0.0,7,UPI,29.32,West
500088,11465,2025-07-21,Electronics,3,365.84,0.1,1,Net Banking,987.77,East
500089,10717,2025-12-26,Electronics,1,33.67,0.0,5,COD,33.67,East
500090,10827,2025-06-28,Fashion,3,25.3,0.05,5,COD,72.1,East
500091,11356,2025-07-10,Electronics,1,125.45,0.1,5,UPI,112.9,North
500092,10459,2025-11-07,Fashion,4,358.17,0.1,3,Card,1289.41,West
500093,10708,2025-12-28,Fashion,2,178.76,0.0,2,COD,357.52,West
500094,10798,2025-09-24,Fashion,1,19.62,0.05,8,UPI,18.64,North
500095,10407,2025-09-12,Beauty,3,214.65,0.05,3,Net Banking,611.75,South
500096,10082,2025-11-16,Sports,2,31.01,0.15,2,Net Banking,52.72,South
500097,10426,2025-12-24,Fashion,2,20.2,0.05,5,UPI,38.38,West
500098,10169,2025-09-26,Beauty,3,425.23,0.05,3,UPI,1211.91,South
500099,11014,2025-04-17,Electronics,4,367.62,0.0,7,UPI,1470.48,West
500100,10011,2025-08-23,Home,4,38.19,0.1,4,Card,137.48,South
500101,10475,2025-03-28,Electronics,2,13.81,0.1,7,Card,24.86,South
500102,11327,2025-07-02,Electronics,4,27.05,0.1,5,COD,97.38,South
500103,10853,2025-06-12,Home,1,69.01,0.1,4,Card,62.11,West
500104,11007,2025-12-27,Home,4,12.99,0.15,7,UPI,44.17,West
500105,11003,2025-07-22,Electronics,4,22.84,0.15,3,UPI,77.66,North
500106,10448,2025-12-17,Home,3,18.95,0.0,4,Card,56.85,East
500107,10949,2025-10-22,Fashion,3,312.38,0.0,6,Card,937.14,West
500108,10332,2025-11-06,Home,3,42.45,0.15,5,Net Banking,108.25,North
500109,10954,2025-03-03,Home,1,36.03,0.1,3,UPI,32.43,North
500110,11025,2025-10-10,Electronics,4,45.26,0.2,1,COD,144.83,East
500111,11315,2025-04-02,Electronics,3,13.05,0.05,4,UPI,37.19,North
500112,11380,2025-07-30,Electronics,4,58.85,0.2,3,COD,188.32,South
500113,10036,2025-06-27,Beauty,1,348.36,0.0,5,UPI,348.36,North
500114,10449,2025-04-05,Fashion,4,261.73,0.1,4,Card,942.23,North
500115,10821,2025-12-26,Sports,2,28.64,0.05,3,Card,54.42,North
500116,10483,2025-11-16,Fashion,4,13.4,0.0,4,COD,53.6,East
500117,10928,2025-07-29,Fashion,4,151.77,0.0,4,UPI,607.08,West
500118,11282,2025-01-04,Grocery,4,220.24,0.0,6,UPI,880.96,South
500119,10388,2025-03-08,Home,4,281.78,0.0,5,Card,1127.12,West
500120,11341,2025-03-25,Sports,1,74.9,0.15,9,Card,63.67,North
500121,11324,2025-12-21,Grocery,2,52.98,0.2,5,UPI,84.77,West
500122,11372,2025-05-28,Fashion,2,120.36,0.15,3,UPI,204.61,West
500123,10111,2025-01-18,Grocery,3,86.17,0.2,4,COD,206.81,South
500124,10440,2025-08-02,Electronics,4,120.84,0.15,6,UPI,410.86,East
500125,10187,2025-12-13,Grocery,3,22.85,0.15,7,UPI,58.27,South
500126,10181,2025-07-24,Fashion,3,280.61,0.0,7,UPI,841.83,West
500127,10080,2025-06-12,Home,4,11.85,0.0,2,Card,47.4,West
500128,10660,2025-03-06,Electronics,1,12.17,0.15,7,Net Banking,10.34,South
500129,10131,2025-11-17,Sports,3,99.67,0.05,4,COD,284.06,North
500130,10444,2025-02-08,Beauty,3,62.28,0.1,3,COD,168.16,North
500131,11473,2025-12-07,Home,1,72.49,0.1,4,Card,65.24,North
500132,11326,2025-03-23,Beauty,3,408.22,0.0,7,UPI,1224.66,West
500133,11406,2025-02-20,Grocery,4,204.83,0.0,5,Net Banking,819.32,South
500134,10055,2025-05-08,Beauty,4,141.1,0.1,2,UPI,507.96,East
500135,10992,2025-01-02,Electronics,4,18.8,0.05,2,COD,71.44,West
500136,10951,2025-01-06,Home,4,10.86,0.05,2,UPI,41.27,South
500137,10200,2025-03-10,Electronics,2,17.14,0.1,3,Card,30.85,South
500138,11360,2025-09-10,Sports,1,100.36,0.05,5,Net Banking,95.34,North
500139,10607,2025-10-25,Sports,4,146.08,0.05,2,COD,555.1,West
500140,11466,2025-04-01,Grocery,2,175.23,0.1,4,COD,315.41,East
500141,10171,2025-08-24,Fashion,3,21.28,0.05,7,COD,60.65,South
500142,10976,2025-05-09,Sports,1,24.53,0.15,8,Card,20.85,East
500143,10197,2025-06-08,Beauty,4,35.05,0.05,8,Card,133.19,East
500144,11425,2025-05-03,Fashion,4,123.06,0.2,1,Card,393.79,South
500145,10912,2025-11-22,Electronics,4,12.32,0.15,8,UPI,41.89,West
500146,10114,2025-07-06,Fashion,1,274.31,0.15,5,Card,233.16,East
500147,10323,2025-07-04,Fashion,4,13.72,0.1,5,UPI,49.39,South
500148,10539,2025-11-10,Electronics,3,64.32,0.1,7,Net Banking,173.66,North
500149,10020,2025-08-28,Fashion,1,316.08,0.05,6,COD,300.28,East
500150,10014,2025-02-24,Sports,3,15.69,0.1,1,UPI,42.36,West
500151,11389,2025-03-10,Beauty,2,116.28,0.0,3,Card,232.56,West
500152,11472,2025-05-05,Fashion,3,65.67,0.0,4,COD,197.01,North
500153,10805,2025-02-05,Home,1,242.9,0.0,2,COD,242.9,North
500154,11355,2025-09-10,Home,3,73.01,0.1,6,UPI,197.13,West
500155,10983,2025-06-30,Electronics,3,257.77,0.0,7,Card,773.31,West
500156,10043,2025-01-17,Home,3,56.89,0.1,4,UPI,153.6,East
500157,11072,2025-05-27,Sports,4,14.92,0.0,5,COD,59.68,East
500158,10028,2025-10-30,Grocery,3,95.23,0.0,4,COD,285.69,North
500159,11225,2025-11-28,Fashion,3,361.92,0.05,5,UPI,1031.47,North
500160,10551,2025-12-18,Fashion,1,58.08,0.15,7,UPI,49.37,South
500161,10212,2025-12-03,Fashion,4,246.69,0.05,1,UPI,937.42,East
500162,10388,2025-08-10,Beauty,2,230.39,0.15,5,Card,391.66,West
500163,11026,2025-12-05,Beauty,3,116.38,0.0,5,UPI,349.14,South
500164,11271,2025-12-16,Fashion,3,149.36,0.05,3,COD,425.68,West
500165,10857,2025-08-20,Sports,4,57.75,0.0,3,Card,231.0,West
500166,10241,2025-05-31,Beauty,2,262.18,0.0,8,Card,524.36,West
500167,11351,2025-12-19,Fashion,2,36.29,0.0,2,COD,72.58,West
500168,11186,2025-06-01,Beauty,4,81.46,0.0,4,COD,325.84,West
500169,10615,2025-03-02,Home,3,11.72,0.1,8,UPI,31.64,South
500170,10832,2025-02-08,Home,2,19.17,0.1,2,COD,34.51,East
500171,11446,2025-07-27,Electronics,2,66.43,0.0,4,Card,132.86,East
500172,10567,2025-01-13,Beauty,4,147.65,0.15,5,UPI,502.01,West
500173,10039,2025-02-13,Sports,4,10.4,0.1,5,UPI,37.44,North
500174,10219,2025-03-31,Sports,1,13.6,0.0,4,COD,13.6,West
500175,10901,2025-07-13,Grocery,2,11.11,0.05,3,UPI,21.11,South
500176,11497,2025-06-24,Electronics,4,65.5,0.0,5,UPI,262.0,West
500177,11110,2025-07-06,Sports,1,33.58,0.15,4,Card,28.54,North
500178,10927,2025-07-05,Sports,1,11.93,0.05,6,Net Banking,11.33,North
500179,10485,2025-12-29,Beauty,1,158.89,0.0,6,COD,158.89,North
500180,10660,2025-03-21,Home,3,77.51,0.0,2,COD,232.53,South
500181,10058,2025-06-23,Beauty,2,13.25,0.0,7,UPI,26.5,East
500182,10557,2025-08-12,Sports,2,99.07,0.05,4,COD,188.23,South
500183,10936,2025-04-10,Grocery,1,355.9,0.1,6,Card,320.31,North
500184,11359,2025-03-08,Fashion,3,43.16,0.2,5,Net Banking,103.58,East
500185,11384,2025-01-18,Fashion,4,362.14,0.0,8,Card,1448.56,West
500186,11232,2025-04-30,Fashion,1,59.73,0.0,5,Card,59.73,East
500187,10033,2025-04-03,Electronics,3,12.09,0.0,4,Net Banking,36.27,South
500188,11217,2025-03-13,Fashion,4,22.0,0.05,3,Net Banking,83.6,South
500189,10328,2025-04-10,Electronics,3,10.44,0.1,2,UPI,28.19,South
500190,10925,2025-09-12,Grocery,3,39.61,0.2,6,UPI,95.06,North
500191,11420,2025-10-30,Grocery,1,39.15,0.1,2,Card,35.24,West
500192,11332,2025-07-08,Fashion,4,55.33,0.0,6,UPI,221.32,South
500193,10997,2025-01-25,Beauty,4,54.91,0.15,4,UPI,186.69,East
500194,10449,2025-09-26,Sports,3,178.21,0.15,1,UPI,454.44,North
500195,10782,2025-02-25,Fashion,4,13.61,0.0,7,Card,54.44,West
500196,11056,2025-01-21,Sports,3,225.47,0.15,1,Card,574.95,East
500197,10772,2025-07-27,Fashion,3,25.9,0.1,4,UPI,69.93,East
500198,10607,2025-06-05,Home,4,288.01,0.1,5,Card,1036.84,West
500199,10605,2025-04-24,Electronics,1,15.93,0.05,1,Card,15.13,West
500200,10900,2025-12-19,Home,1,21.78,0.0,5,Net Banking,21.78,South
500201,10054,2025-02-03,Fashion,1,16.96,0.1,3,UPI,15.26,East
500202,11498,2025-01-20,Beauty,3,24.43,0.05,4,COD,69.63,East
500203,10154,2025-08-03,Fashion,1,309.8,0.2,7,Net Banking,247.84,East
500204,11477,2025-06-02,Home,2,54.22,0.0,5,Card,108.44,South
500205,10054,2025-10-20,Grocery,2,20.4,0.05,4,COD,38.76,East
500206,10769,2025-01-15,Beauty,3,121.46,0.1,4,UPI,327.94,North
500207,10627,2025-06-03,Grocery,3,73.71,0.1,8,UPI,199.02,West
500208,10861,2025-02-23,Beauty,1,138.61,0.05,5,UPI,131.68,West
500209,10651,2025-01-16,Beauty,3,124.79,0.1,3,Card,336.93,South
500210,11346,2025-06-18,Fashion,2,137.96,0.1,4,Net Banking,248.33,East
500211,10025,2025-09-26,Home,1,19.41,0.1,2,UPI,17.47,West
500212,11479,2025-02-27,Home,3,61.92,0.0,4,Card,185.76,South
500213,11035,2025-11-04,Beauty,2,83.56,0.1,8,COD,150.41,South
500214,11168,2025-07-09,Sports,2,68.23,0.05,4,Card,129.64,South
500215,10210,2025-06-25,Electronics,4,385.09,0.1,2,Card,1386.32,South
500216,10098,2025-12-03,Beauty,1,370.49,0.1,5,Card,333.44,North
500217,10596,2025-05-01,Sports,4,240.52,0.05,4,Card,913.98,South
500218,10484,2025-03-15,Sports,2,25.21,0.0,6,UPI,50.42,South
500219,11175,2025-10-14,Beauty,4,64.41,0.0,4,Card,257.64,South
500220,11345,2025-02-09,Electronics,4,223.79,0.0,7,Card,895.16,West
500221,10642,2025-11-15,Electronics,4,24.29,0.1,3,UPI,87.44,West
500222,11153,2025-10-29,Beauty,1,167.88,0.1,2,Card,151.09,North
500223,10090,2025-12-23,Sports,4,21.93,0.2,6,Card,70.18,South
500224,11114,2025-06-17,Electronics,2,18.42,0.1,1,Card,33.16,West
500225,10150,2025-08-16,Grocery,4,30.79,0.1,4,Card,110.84,North
500226,11002,2025-11-19,Sports,4,363.76,0.1,6,Card,1309.54,South
500227,10574,2025-02-18,Electronics,3,317.36,0.05,1,COD,904.48,West
500228,10623,2025-04-22,Beauty,4,268.65,0.1,5,UPI,967.14,West
500229,10415,2025-06-22,Home,3,22.75,0.05,2,Card,64.84,North
500230,10605,2025-08-18,Grocery,1,170.7,0.05,1,Card,162.16,West
500231,11312,2025-09-05,Fashion,4,21.23,0.15,2,Card,72.18,West
500232,11214,2025-12-04,Home,3,21.3,0.1,4,COD,57.51,South
500233,10511,2025-06-28,Home,1,22.03,0.0,3,COD,22.03,North
500234,10441,2025-03-04,Fashion,1,17.59,0.05,7,UPI,16.71,West
500235,10764,2025-03-11,Electronics,3,123.45,0.2,5,Card,296.28,North
500236,11028,2025-10-20,Home,4,106.07,0.0,4,UPI,424.28,South
500237,10274,2025-06-18,Electronics,3,11.03,0.2,2,COD,26.47,East
500238,11090,2025-08-19,Fashion,2,14.41,0.2,5,Net Banking,23.06,South
500239,11424,2025-07-25,Sports,2,40.15,0.1,9,Card,72.27,South
500240,11267,2025-10-24,Beauty,2,16.62,0.0,3,UPI,33.24,North
500241,10823,2025-03-21,Electronics,2,228.16,0.0,3,UPI,456.32,South
500242,10480,2025-03-04,Beauty,2,50.91,0.0,2,UPI,101.82,South
500243,10486,2025-09-25,Grocery,1,60.74,0.05,7,Card,57.7,South
500244,11113,2025-06-08,Home,3,13.73,0.1,6,Net Banking,37.07,East
500245,10683,2025-10-25,Electronics,1,182.42,0.15,4,Card,155.06,North
500246,10160,2025-02-17,Electronics,1,154.55,0.0,3,Net Banking,154.55,West
500247,11017,2025-04-10,Sports,2,150.15,0.05,3,UPI,285.29,East
500248,10208,2025-12-17,Electronics,4,73.83,0.05,4,UPI,280.55,East
500249,11481,2025-11-04,Fashion,3,24.19,0.05,7,Card,68.94,South
500250,10627,2025-01-23,Grocery,2,10.74,0.05,5,UPI,20.41,West
500251,10513,2025-10-26,Fashion,3,41.18,0.15,7,UPI,105.01,North
500252,10083,2025-01-24,Beauty,3,77.44,0.05,3,UPI,220.7,West
500253,10252,2025-02-13,Home,2,17.04,0.0,1,Card,34.08,West
500254,11422,2025-11-24,Electronics,4,12.01,0.1,10,UPI,43.24,South
500255,10806,2025-02-15,Electronics,3,22.54,0.0,5,Net Banking,67.62,North
500256,11353,2025-04-20,Grocery,1,12.64,0.15,6,COD,10.74,South
500257,11434,2025-02-19,Electronics,4,11.54,0.15,3,COD,39.24,North
500258,10074,2025-08-06,Electronics,1,59.7,0.0,2,UPI,59.7,North
500259,10572,2025-01-21,Sports,1,155.66,0.1,5,UPI,140.09,West
500260,11258,2025-04-15,Beauty,2,49.26,0.1,1,Card,88.67,West
500261,10744,2025-04-30,Beauty,2,13.65,0.05,4,UPI,25.94,North
500262,10764,2025-08-25,Sports,4,42.26,0.05,7,Card,160.59,North
500263,10856,2025-07-01,Fashion,3,14.01,0.2,5,UPI,33.62,South
500264,11053,2025-03-12,Grocery,1,102.27,0.0,5,Card,102.27,South
500265,11409,2025-06-19,Beauty,2,24.01,0.05,8,Card,45.62,West
500266,11331,2025-06-17,Sports,4,38.43,0.0,5,Card,153.72,West
500267,10938,2025-05-10,Grocery,3,408.66,0.0,1,COD,1225.98,North
500268,10866,2025-07-14,Beauty,3,86.83,0.15,4,UPI,221.42,West
500269,10542,2025-04-30,Home,3,150.86,0.1,8,UPI,407.32,East
500270,10175,2025-05-02,Grocery,3,38.52,0.1,4,Card,104.0,North
500271,11064,2025-10-13,Home,1,326.16,0.0,8,COD,326.16,East
500272,10004,2025-04-02,Electronics,3,125.9,0.15,7,UPI,321.04,East
500273,11048,2025-05-01,Fashion,3,63.97,0.0,4,Net Banking,191.91,West
500274,10746,2025-02-21,Grocery,1,56.46,0.05,2,UPI,53.64,South
500275,11180,2025-09-12,Electronics,3,102.92,0.0,5,UPI,308.76,North
500276,11424,2025-09-15,Grocery,1,17.42,0.05,7,Card,16.55,South
500277,10830,2025-09-05,Sports,1,27.63,0.1,1,UPI,24.87,South
500278,10859,2025-03-03,Grocery,4,107.69,0.0,5,Card,430.76,South
500279,10732,2025-06-14,Beauty,2,43.78,0.05,1,UPI,83.18,North
500280,10560,2025-04-17,Home,2,165.48,0.05,4,Card,314.41,South
500281,10134,2025-10-06,Fashion,3,61.9,0.1,1,UPI,167.13,South
500282,10047,2025-05-03,Electronics,3,9.63,0.05,6,UPI,27.45,South
500283,11085,2025-06-01,Grocery,3,123.66,0.15,3,Card,315.33,West
500284,11373,2025-06-15,Fashion,4,81.21,0.0,7,COD,324.84,South
500285,10081,2025-10-05,Beauty,3,33.38,0.0,3,COD,100.14,East
500286,10491,2025-09-14,Fashion,1,163.03,0.0,3,UPI,163.03,East
500287,10913,2025-10-27,Sports,1,33.83,0.0,1,Net Banking,33.83,West
500288,11058,2025-06-06,Fashion,2,17.49,0.05,5,UPI,33.23,North
500289,11103,2025-10-27,Grocery,2,20.25,0.0,5,COD,40.5,West
500290,11042,2025-11-14,Grocery,2,374.84,0.0,6,Net Banking,749.68,East
500291,10126,2025-07-11,Grocery,1,36.16,0.0,6,Card,36.16,South
500292,10381,2025-09-06,Fashion,1,59.94,0.05,5,UPI,56.94,East
500293,10704,2025-11-28,Sports,1,29.7,0.1,6,Net Banking,26.73,West
500294,10096,2025-11-03,Home,4,151.71,0.05,6,Card,576.5,East
500295,10515,2025-04-11,Electronics,2,90.76,0.2,6,UPI,145.22,South
500296,10578,2025-09-19,Beauty,4,179.64,0.0,1,Net Banking,718.56,East
500297,11468,2025-06-12,Grocery,2,272.92,0.05,4,Card,518.55,North
500298,10476,2025-02-24,Electronics,2,395.61,0.0,1,Card,791.22,South
500299,11458,2025-05-16,Fashion,2,31.4,0.15,5,Card,53.38,South
500300,11051,2025-12-23,Home,4,68.68,0.0,8,Net Banking,274.72,East
500301,11039,2025-12-16,Beauty,3,31.56,0.2,6,Card,75.74,South
500302,11230,2025-10-15,Electronics,1,166.23,0.1,3,Net Banking,149.61,North
500303,11264,2025-12-28,Sports,2,143.66,0.1,6,UPI,258.59,West
500304,10334,2025-07-29,Sports,4,30.35,0.05,5,Card,115.33,West
500305,10632,2025-10-04,Sports,1,196.55,0.05,5,Card,186.72,West
500306,10793,2025-03-02,Sports,4,23.94,0.0,2,UPI,95.76,South
500307,11466,2025-04-20,Home,4,426.76,0.15,7,UPI,1450.98,East
500308,10061,2025-03-05,Fashion,1,263.58,0.1,2,UPI,237.22,East
500309,10716,2025-12-09,Electronics,3,11.18,0.0,4,UPI,33.54,North
500310,10322,2025-08-13,Beauty,3,35.61,0.0,6,COD,106.83,South
500311,10311,2025-12-07,Fashion,4,41.92,0.0,4,UPI,167.68,South
500312,11143,2025-06-01,Sports,4,242.39,0.1,5,COD,872.6,West
500313,10303,2025-05-28,Electronics,1,163.02,0.05,5,COD,154.87,South
500314,11191,2025-09-04,Sports,2,13.17,0.1,5,COD,23.71,South
500315,11491,2025-07-27,Beauty,4,267.18,0.0,5,COD,1068.72,North
500316,11165,2025-05-16,Grocery,2,25.82,0.15,5,Card,43.89,North
500317,10255,2025-04-26,Fashion,1,30.86,0.0,5,Net Banking,30.86,North
500318,10214,2025-07-07,Fashion,3,18.23,0.0,3,COD,54.69,West
500319,10656,2025-01-28,Sports,1,20.3,0.15,1,UPI,17.26,South
500320,10827,2025-03-10,Sports,1,71.5,0.1,6,COD,64.35,East
500321,11168,2025-01-16,Electronics,4,11.29,0.05,7,Card,42.9,South
500322,10635,2025-02-26,Fashion,1,13.2,0.15,5,COD,11.22,North
500323,10251,2025-03-14,Electronics,4,150.39,0.0,5,UPI,601.56,East
500324,11488,2025-01-28,Beauty,1,43.16,0.0,3,Card,43.16,South
500325,11357,2025-01-21,Sports,1,95.85,0.0,1,Net Banking,95.85,South
500326,10982,2025-10-27,Grocery,3,393.0,0.0,4,Net Banking,1179.0,West
500327,11044,2025-03-08,Home,1,12.6,0.1,1,UPI,11.34,East
500328,11403,2025-07-22,Beauty,2,125.24,0.05,5,Card,237.96,West
500329,10713,2025-02-05,Fashion,2,18.21,0.05,7,UPI,34.6,West
500330,10219,2025-12-12,Beauty,3,121.97,0.1,3,COD,329.32,West
500331,10909,2025-03-29,Home,2,40.44,0.0,3,UPI,80.88,South
500332,10677,2025-10-01,Home,1,20.35,0.0,2,Net Banking,20.35,West
500333,11200,2025-08-23,Beauty,1,20.57,0.05,5,Card,19.54,West
500334,11158,2025-10-08,Fashion,1,35.87,0.1,4,UPI,32.28,North
500335,10708,2025-08-18,Grocery,1,184.9,0.05,2,UPI,175.66,West
500336,10552,2025-07-05,Fashion,3,92.81,0.2,6,Card,222.74,North
500337,10634,2025-10-09,Beauty,2,181.04,0.15,10,Card,307.77,South
500338,10949,2025-10-25,Fashion,1,10.42,0.1,7,COD,9.38,West
500339,10956,2025-05-19,Sports,2,281.04,0.1,4,Card,505.87,West
500340,10768,2025-12-10,Beauty,3,51.94,0.1,4,Card,140.24,North
500341,10798,2025-12-27,Beauty,2,16.34,0.15,3,UPI,27.78,North
500342,11488,2025-09-21,Home,2,418.48,0.1,3,UPI,753.26,South
500343,10381,2025-12-06,Grocery,3,165.49,0.05,6,UPI,471.65,East
500344,10261,2025-02-08,Grocery,3,13.31,0.0,7,UPI,39.93,North
500345,11199,2025-07-17,Home,3,55.15,0.15,2,COD,140.63,South
500346,11404,2025-08-26,Beauty,2,386.94,0.05,5,UPI,735.19,South
500347,10914,2025-12-05,Home,2,113.62,0.1,7,Card,204.52,West
500348,10603,2025-02-13,Grocery,4,19.83,0.2,4,UPI,63.46,West
500349,10523,2025-10-22,Electronics,4,176.31,0.05,4,UPI,669.98,North
500350,10702,2025-01-29,Home,1,18.92,0.0,6,UPI,18.92,South
500351,10079,2025-05-11,Home,4,33.52,0.0,6,UPI,134.08,East
500352,10793,2025-09-10,Fashion,4,18.18,0.05,5,UPI,69.08,South
500353,10405,2025-04-17,Home,4,99.81,0.1,5,Net Banking,359.32,West
500354,10399,2025-11-01,Fashion,2,332.37,0.0,5,UPI,664.74,South
